URL,Size(Bytes),Outlinks,Content-Type
https://www.foxnews.com/story/where-in-the-world-is-fox,488104,502,text/html
https://press.foxnews.com/media-contacts,18374,43,text/html
https://press.foxnews.com,23402,50,text/html
https://www.foxnews.com/compliance,224486,465,text/html
https://www.foxnews.com/story/foxnews-com-rss-feeds,312307,517,text/html
https://www.foxnews.com/terms-of-use,451518,466,text/html
https://www.foxnews.com/privacy-policy,390035,506,text/html
http://privacy.foxnews.com/main/web/main,1190,0,text/html
https://www.foxnews.com/closed-captioning,221595,457,text/html
https://www.foxnews.com/accessibility-statement,218250,457,text/html
https://www.foxnews.com/html-sitemap,154168,468,text/html
https://www.foxnews.com/world/hamas-accepts-trump-peace-plan-ending-2-years-war-gaza-returning-hostages,385673,528,text/html
https://www.foxnews.com/politics/israel-hamas-peace-deal-reached-after-trump-says-very-close-white-house-note-pass-rubio,387531,535,text/html
https://www.foxnews.com/politics/screaming-match-erupts-between-hakeem-jeffries-mike-lawler-government-shutdown-chaos-continues,363906,525,text/html
https://www.foxnews.com/opinion/mike-davis-supreme-court-betrayed-again-time-from-bench,362057,519,text/html
https://www.foxnews.com/sports/minnesota-leadership-faces-calls-from-schools-protect-girls-sports-trumps-title-ix-deadline-looms,358843,521,text/html
https://www.foxnews.com/us/blue-city-man-nearly-100-arrests-accused-stabbing-elderly-victim-has-never-served-prison-time,357743,526,text/html
https://www.foxnews.com/politics/mask-mandates-return-wealthy-blue-state-county-leaders-cite-risk-covid-up-vaccine-recommendations,362597,528,text/html
https://www.foxnews.com/us/disneyland-guest-dies-after-riding-haunted-mansion-attraction-police-say,330468,517,text/html
https://www.foxnews.com/entertainment/darius-rucker-engaged-after-fiancee-admits-she-hid-relationship-protect,380451,539,text/html
https://www.foxnews.com/us/illegal-immigrant-gets-one-year-hit-and-run-death-university-south-carolina-student,355811,521,text/html
https://nation.foxnews.com/?cmpid=org=nat::ag=owned::mc=fnc_display::src=fnc_web::cmp=brand::add=rightrail,120457,29,text/html
https://www.foxnews.com/shows/hannity,291121,532,text/html
https://www.foxnews.com/deals/amazon-workwear-boots-pants-tees,341134,513,text/html
https://www.foxnews.com/us/pro-palestinian-agitators-attack-police-riot-erupts-dem-run-city-officials-say,351592,522,text/html
https://www.foxnews.com/category/us,191843,513,text/html
https://www.foxnews.com/sports/bad-bunny-appears-sit-during-god-bless-america-yankee-stadium-report,344436,519,text/html
https://www.foxnews.com/category/sports/mlb-postseason,236445,577,text/html
https://www.foxnews.com/deals/amazon-prime-big-deal-days,653160,744,text/html
https://www.foxnews.com/category/deals,184610,497,text/html
https://www.foxnews.com/video/6382406512112,154768,37,text/html
https://www.foxnews.com/politics/trump-undergo-routine-yearly-medical-exam-walter-reed-while-visiting-troops-maryland,357426,525,text/html
https://www.foxnews.com/politics/who-is-elizabeth-simons-meet-the-largest-individual-donor-to-virginias-disgraced-dem-ag-nominee,364447,530,text/html
https://www.foxnews.com/category/politics,187404,497,text/html
https://www.foxnews.com/us/noem-likens-antifa-isis-other-terror-groups-that-want-kill-americans,357666,523,text/html
https://www.foxnews.com/politics/liberal-media-darling-hot-seat-after-explosive-interview-goes-viral,381576,534,text/html
https://www.foxnews.com/media/californians-experiencing-red-shift-local-democrats-becoming-republicans-amid-migrant-crisis-crime,351718,519,text/html
https://www.foxnews.com/category/media,223222,577,text/html
https://www.foxnews.com/deals/amazon-prime-big-deal-days-top-deals,416020,594,text/html
https://www.foxnews.com/world/manchester-synagogue-attacker-pledged-allegiance-islamic-state-police-say,348496,521,text/html
https://www.foxnews.com/category/world,221054,577,text/html
https://www.foxnews.com/us/manager-famed-strip-club-gunned-down-near-home-blue-city-police-hunt-killer,355680,525,text/html
https://www.foxnews.com/category/us/crime/homicide,235543,577,text/html
https://www.foxnews.com/entertainment/dolly-partons-sister-offers-health-update-country-icon-after-fans-worry-over-her-call-prayers,379755,542,text/html
https://www.foxnews.com/politics/top-gop-group-drops-big-money-into-virginia-showdow-after-dem-ag-nominees-violent-texts-go-viral,359166,523,text/html
https://www.foxnews.com/category/politics/virginia-governor-race,225940,535,text/html
https://www.foxnews.com/politics/dem-candidate-under-fire-saying-hed-kick-s-out-trump-adviser-stephen-miller,369099,529,text/html
https://www.foxnews.com/category/us/democratic-party,236583,577,text/html
https://www.foxnews.com/politics/dizzying-ride-hill-lawmakers-debate-circles-shutdown-enters-week-2,416867,530,text/html
https://www.foxnews.com/category/us/congress,234771,577,text/html
https://www.foxnews.com/food-drink/ancient-spicy-food-may-boost-heart-health-doctor-warns-its-salty-downside,367156,528,text/html
https://www.foxnews.com/category/food-drink/food/healthy-foods,195884,497,text/html
https://www.foxnews.com/lifestyle/american-culture-quiz-test-yourself-farmers-feats-brilliant-baseball,315215,514,text/html
https://www.foxnews.com/category/lifestyle/quizzes,207944,518,text/html
https://www.foxnews.com/iq/guess-whats-next,103784,20,text/html
https://www.foxnews.com/entertainment/country-star-alan-jackson-plans-one-final-bow-nashville-after-health-issues-force-retirement,361898,537,text/html
https://www.foxnews.com/politics/moderate-dem-undercuts-jeffries-obamacare-compromise-government-shutdown-wears,361254,526,text/html
https://www.foxnews.com/politics/tense-confrontation-between-house-speaker-senate-dems-caught-camera-over-shutdown,365121,525,text/html
https://www.foxnews.com/sports/former-penn-state-ohio-state-player-charged-homicide-dui-after-girlfriend-dies-fatal-atv-crash,347899,524,text/html
https://www.foxnews.com/category/sports/ncaa/penn-state-nittany-lions,231906,577,text/html
https://www.foxnews.com/travel/thieves-steal-priceless-ancient-jewelry-prominent-history-museum-police-say,357138,526,text/html
https://www.foxnews.com/category/travel/general/museums-exhibits,235914,577,text/html
https://www.foxnews.com/us/who-is-jonathan-rinderknecht-palisades-fire-suspect-accused-of-sparking-deadly-blaze,393838,529,text/html
https://www.foxnews.com/category/us/us-regions/west/california,236007,577,text/html
https://www.foxnews.com/download?shortlink=sn6o6hl0&c=FNC_Homepage_QR_Click&pid=Owned_Digital&af_xp=custom&source_caller=ui,17464,28,text/html
